NA_L3NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY,year,En_NFire,En_BurnArea
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2028,5.643357142857143,48792.29890170939
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2057,7.434214285714286,64885.74088045195
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2058,6.341,52556.20977247547
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2059,5.089857142857143,40545.33404498482
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2060,3.483,25203.27707291728
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2019,4.2185,33626.709769625
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2020,3.3965714285714284,24802.976912345934
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2024,6.407642857142857,56813.86191147015
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2023,3.7475714285714283,28109.835590455135
Colorado Plateaus,20,Colorado Plateaus,10.1.6,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,Colorado,8,20  Colorado Plateaus,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2038,4.308142857142857,33862.68896845394
